Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2016-06-15,217.699997,91.300003,732.190002,13.01,714.26001,83.0
2016-06-16,217.929993,92.410004,724.25,13.12,717.51001,82.559998
2016-06-17,215.470001,91.370003,704.25,13.26,706.390015,82.690002
2016-06-20,219.699997,91.970001,706.130005,13.42,714.01001,82.730003
2016-06-21,219.610001,92.370003,708.880005,13.22,715.820007,85.199997
2016-06-22,196.660004,92.110001,710.469971,13.18,710.599976,86.040001
2016-06-23,196.399994,92.57,714.869995,13.4,722.080017,87.720001
2016-06-24,193.149994,92.18,685.200012,12.52,698.960022,86.449997
2016-06-27,198.550003,95.849998,681.140015,12.16,691.359985,84.150002
2016-06-28,201.789993,94.730003,691.26001,12.39,707.950012,83.839996
2016-06-29,210.190002,94.080002,695.190002,12.55,715.599976,84.949997
2016-06-30,212.279999,96.629997,703.530029,12.57,715.619995,85.919998
2016-07-01,216.5,95.650002,710.25,12.72,725.679993,85.849998
2016-07-05,213.979996,97.339996,704.890015,12.4,728.099976,86.0
2016-07-06,214.440002,97.739998,708.969971,12.57,737.609985,86.360001
2016-07-07,215.940002,97.010002,707.26001,12.75,736.570007,86.089996
2016-07-08,216.779999,97.129997,717.780029,13.09,745.809998,86.260002
2016-07-11,224.779999,96.540001,727.200012,13.27,753.780029,87.580002
2016-07-12,224.649994,96.809998,732.51001,13.45,748.210022,86.779999
2016-07-13,222.529999,97.209999,729.47998,13.48,742.630005,86.989998
2016-07-14,221.529999,96.949997,735.799988,13.59,741.200012,88.160004
2016-07-15,220.399994,97.010002,735.630005,13.57,735.440002,87.970001
2016-07-18,226.25,96.620003,753.200012,13.65,736.070007,88.629997
2016-07-19,225.259995,97.860001,753.409973,13.65,739.950012,87.919998
2016-07-20,228.360001,97.790001,757.080017,13.74,745.719971,89.129997
2016-07-21,220.5,97.57,754.409973,13.92,744.429993,89.230003
2016-07-22,222.270004,98.339996,759.280029,13.84,744.859985,91.07
2016-07-25,230.009995,98.019997,757.52002,13.83,739.609985,91.400002
2016-07-26,229.509995,97.190002,757.650024,13.86,735.590027,88.129997
2016-07-27,228.490005,96.199997,761.969971,13.84,736.669983,87.459999
2016-07-28,230.610001,97.870003,765.840027,12.71,752.609985,88.910004
2016-07-29,234.789993,98.510002,791.340027,12.66,758.809998,88.389999
2016-08-01,230.009995,98.0,800.940002,12.48,767.73999,90.690002
2016-08-02,227.199997,97.010002,800.119995,11.94,760.580017,88.519997
2016-08-03,225.789993,96.660004,798.919983,12.13,754.640015,87.730003
2016-08-04,230.610001,97.190002,797.25,12.08,760.77002,96.989998
