,0
307,"296Joffrey Lauvergne, COklahoma City Thunder$1,709,719"
308,"298Gary Harris, SGDenver Nuggets$1,655,880"
309,"300Malik Beasley, SGDenver Nuggets$1,627,320"
310,"302Delon Wright, PGToronto Raptors$1,577,280"
311,"304David Lee, PFSan Antonio Spurs$1,551,659"
312,"306Mitch McGary, PFOklahoma City Thunder$1,526,040"
313,"308Marcelo Huertas, PGLos Angeles Lakers$1,500,000"
314,"310Jordan Adams, SGMemphis Grizzlies$1,465,080"
315,"312Demetrius Jackson, PGBoston Celtics$1,450,000"
316,"314Rodney Hood, SGUtah Jazz$1,406,520"
317,"316JaVale McGee, CGolden State Warriors$1,403,611"
318,"318Deyonta Davis, CMemphis Grizzlies$1,369,299"
319,"320Shabazz Napier, PGPortland Trail Blazers$1,350,120"
320,"321Willy Hernangomez, CNew York Knicks$1,350,000"
321,"323Tyus Jones, PGMinnesota Timberwolves$1,339,680"
322,"325Timothe Luwawu-Cabarrot, SGPhiladelphia 76ers$1,326,960"
323,"327Jarell Martin, PFMemphis Grizzlies$1,286,160"
324,"329Jeremy Evans, SFAtlanta Hawks$1,227,286"
325,"331Jordan Mickey, CBoston Celtics$1,223,653"
326,"333Larry Nance Jr., PFLos Angeles Lakers$1,207,680"
327,"335Kyle Anderson, SFSan Antonio Spurs$1,192,080"
328,"337Josh Huestis, SFOklahoma City Thunder$1,191,480"
329,"339Skal Labissiere, PFSacramento Kings$1,188,840"
330,"341Dejounte Murray, PGSan Antonio Spurs$1,180,080"
331,"343Isaiah Whitehead, SGBrooklyn Nets$1,074,145"
332,"345Rakeem Christmas, PFIndiana Pacers$1,052,342"
333,"347Chris Johnson, SGHouston Rockets$1,050,961"
334,"349Glenn Robinson III, SGIndiana Pacers$1,050,500"
335,"351Ivica Zubac, CLos Angeles Lakers$1,034,956"
336,"353Isaiah Canaan, PGChicago Bulls$1,015,696"
337,"355Anthony Bennett, PFBrooklyn Nets$1,015,696"
338,"357Justin Holiday, SGNew York Knicks$1,015,696"
339,"359Edy Tavares, CCleveland Cavaliers$1,000,000"
340,"322Guillermo Hernangomez, CNew York Knicks$1,350,000"
341,"324Sasha Kaun, CPhiladelphia 76ers$1,333,240"
342,"326Clint Capela, CHouston Rockets$1,296,240"
343,"328Brice Johnson, PFLA Clippers$1,273,920"
344,"330Luke Babbitt, SFMiami Heat$1,227,286"
345,"332CJ Wilcox, SGOrlando Magic$1,209,600"
346,"334Pascal Siakam, PFToronto Raptors$1,196,040"
347,"336Chris McCullough, PFWashington Wizards$1,191,480"
348,"338Livio Jean-Charles, SFSan Antonio Spurs$1,188,840"
