,0,1,2,3,4
178,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,  182,/book/show/3777732-city-of-glass
179,"Soul of a Highlander (Daughters of the Glen, #3)",Melissa Mayhue,4.16,  182,/book/show/2511327.Soul_of_a_Highlander
180,"Sudden Response (EMS, #1)",R.L. Mathewson,4.04,  182,/book/show/20512384-sudden-response
181,"The Book of Life (All Souls Trilogy, #3)",Deborah Harkness,4.15,  182,/book/show/16054217-the-book-of-life
182,Doctor Zhivago,Boris Pasternak,4.03,  181,/book/show/130440.Doctor_Zhivago
183,Before I Fall,Lauren Oliver,3.92,  180,/book/show/6482837-before-i-fall
184,"The Undead Pool (The Hollows, #12)",Kim Harrison,4.43,  179,/book/show/17285883-the-undead-pool
185,"Open Country (Blood Rose, #2)",Kaki Warner,4.05,  178,/book/show/7174472-open-country
186,The Prince of Tides,Pat Conroy,4.22,  178,/book/show/16735.The_Prince_of_Tides
187,"The Unsung Hero (Troubleshooters, #1)",Suzanne Brockmann,4.04,  178,/book/show/6622759-the-unsung-hero
188,"Bright Eyes (Kendrick/Coulter/Harrigan, #5)",Catherine Anderson,4.16,  177,/book/show/89352.Bright_Eyes
189,"The Blue Sword (Damar, #1)",Robin McKinley,4.24,  175,/book/show/407813.The_Blue_Sword
190,"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,4.00,  175,/book/show/11594257-under-the-never-sky
191,"The Tea Rose (The Tea Rose, #1)",Jennifer Donnelly,4.18,  172,/book/show/1306948.The_Tea_Rose
192,Far from the Madding Crowd,Thomas Hardy,3.92,  170,/book/show/31463.Far_from_the_Madding_Crowd
193,"All This, and Heaven Too",Rachel Field,4.02,  167,/book/show/1397878.All_This_and_Heaven_Too
194,"Mackenzie's Pleasure (Mackenzie Family, #3)",Linda Howard,4.13,  166,/book/show/1561628.Mackenzie_s_Pleasure
195,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,  166,/book/show/41865.Twilight
196,The Nutcracker and the Mouse King,E.T.A. Hoffmann,4.06,  165,/book/show/19012900-the-nutcracker-and-the-mouse-king
