The Duke's Redemption,Carla Capshaw, 4.15 avg rating _яс 222 ratings,score: 294,/book/show/6893384-the-duke-s-redemption
The Protector,Carla Capshaw, 4.28 avg rating _яс 425 ratings,score: 293,/book/show/7685306-the-protector
A Place to Call Home,Deborah Smith," 4.05 avg rating _яс 2,298 ratings",score: 289,/book/show/584486.A_Place_to_Call_Home
"Mrs. Mike (Mrs. Mike, #1)",Benedict Freedman," 4.13 avg rating _яс 14,463 ratings",score: 289,/book/show/155712.Mrs_Mike
"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn," 4.01 avg rating _яс 12,764 ratings",score: 285,/book/show/110397.How_to_Marry_a_Marquis
Only Love Is Real: A Story of Soulmates Reunited,Brian L. Weiss," 4.15 avg rating _яс 6,420 ratings",score: 284,/book/show/135564.Only_Love_Is_Real
Phantom Waltz,Catherine Anderson," 4.19 avg rating _яс 4,489 ratings",score: 283,/book/show/2236101.Phantom_Waltz
"Tatiana and Alexander (The Bronze Horseman, #2)",Paullina Simons," 4.30 avg rating _яс 26,444 ratings",score: 280,/book/show/83143.Tatiana_and_Alexander
Whispers of Heaven,Candice Proctor, 4.00 avg rating _яс 299 ratings,score: 275,/book/show/1813357.Whispers_of_Heaven
"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",Nancy E. Turner," 4.34 avg rating _яс 54,417 ratings",score: 267,/book/show/348225.These_Is_My_Words
The Blue Castle,L.M. Montgomery," 4.23 avg rating _яс 21,031 ratings",score: 267,/book/show/95693.The_Blue_Castle
"Shattered Rainbows (Fallen Angels, #5)",Mary Jo  Putney," 4.04 avg rating _яс 1,594 ratings",score: 265,/book/show/638109.Shattered_Rainbows
Attachments,Rainbow Rowell," 3.95 avg rating _яс 121,380 ratings",score: 262,/book/show/8909152-attachments
"When Beauty Tamed the Beast (Fairy Tales, #2)",Eloisa James," 4.06 avg rating _яс 18,255 ratings",score: 256,/book/show/8449698-when-beauty-tamed-the-beast
"Fifty Shades Trilogy (Fifty Shades, #1-3)",E.L. James," 4.13 avg rating _яс 102,036 ratings",score: 251,/book/show/13584236-fifty-shades-trilogy
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen," 4.06 avg rating _яс 71,983 ratings",score: 250,/book/show/1158967.Garden_Spells
Mr. Perfect,Linda Howard," 4.07 avg rating _яс 26,994 ratings",score: 249,/book/show/11725217-mr-perfect
Scaramouche,Rafael Sabatini," 4.06 avg rating _яс 6,260 ratings",score: 242,/book/show/938105.Scaramouche
Edenbrooke,Julianne Donaldson," 4.34 avg rating _яс 30,472 ratings",score: 242,/book/show/13569338-edenbrooke
"The Spymaster's Lady (Spymasters, #1)",Joanna Bourne," 4.04 avg rating _яс 5,477 ratings",score: 237,/book/show/959745.The_Spymaster_s_Lady
"Something Wonderful (Sequels, #2)",Judith McNaught," 4.33 avg rating _яс 21,044 ratings",score: 225,/book/show/129616.Something_Wonderful
"Poison Study (Study, #1)",Maria V. Snyder," 4.16 avg rating _яс 109,476 ratings",score: 215,/book/show/60510.Poison_Study
By Arrangement/By Possession (Medieval #1 & #4),Madeline Hunter, 4.18 avg rating _яс 113 ratings,score: 207,/book/show/221436.By_Arrangement_By_Possession
Sunrise Song,Kathleen Eagle, 4.15 avg rating _яс 138 ratings,score: 203,/book/show/1205099.Sunrise_Song
"Falling For Gracie (Los Lobos, #2)",Susan Mallery," 4.03 avg rating _яс 4,392 ratings",score: 200,/book/show/601957.Falling_For_Gracie
"Complicate Me (The Good Ol' Boys, #1)",M.  Robinson," 4.20 avg rating _яс 6,558 ratings",score: 200,/book/show/25701594-complicate-me
All Washed Up and Nowhere to Run,Rosamund Snow, 3.58 avg rating _яс 60 ratings,score: 200,/book/show/29980450-all-washed-up-and-nowhere-to-run
The Gladiator,Carla Capshaw, 4.16 avg rating _яс 609 ratings,score: 198,/book/show/6609581-the-gladiator
"Strife (Hidden, #4)",Colleen Vanderlinden, 4.12 avg rating _яс 711 ratings,score: 197,/book/show/22078365-strife
