,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
57,427K11TA,0,0,0,1,1,0,25,4,0,59,6,1,1,0.0,56,51
58,790F24BQ,0,1,1,1,0,1,15,11,1,82,3,0,1,0.0,60,65
61,797T64FH,0,0,0,0,0,1,15,11,0,64,3,0,1,0.0,78,104
62,483Q06ZY,0,1,1,1,1,0,15,9,1,38,4,0,1,0.0,62,88
64,003K13DO,1,0,1,1,0,0,15,3,0,67,4,0,1,0.0,67,67
65,579D49GJ,1,0,0,1,0,0,15,8,1,66,4,1,1,0.0,66,59
70,657V10AY,1,0,0,1,0,0,15,3,0,67,1,1,1,0.0,58,58
72,920S32DK,1,0,1,1,1,0,15,6,0,56,6,1,1,0.0,57,73
73,188G25DZ,0,0,0,1,0,0,15,3,0,66,2,0,1,0.0,55,35
75,011Q61HE,1,0,1,1,0,0,15,2,0,55,0,0,1,0.0,59,46
79,960K09AY,0,1,0,1,1,0,15,9,1,79,4,1,1,0.0,62,61
80,388Y47IW,1,0,0,1,0,0,25,7,0,51,4,1,1,0.0,47,32
81,718F39QL,1,0,0,1,0,0,15,7,0,40,5,1,1,0.0,77,142
82,475Z67DS,1,0,1,0,0,1,25,6,0,59,6,1,1,0.0,59,322
83,704G18DT,0,0,1,0,0,0,25,3,0,75,1,1,1,0.0,64,88
87,966L39BH,1,0,0,1,0,0,15,3,0,57,6,0,1,0.0,65,126
89,383O33ZP,0,1,1,1,0,1,25,4,0,67,4,0,1,0.0,50,133
90,489T90WU,1,0,1,1,1,1,25,6,1,35,3,0,1,0.0,68,63
92,505C30LS,1,0,0,1,1,1,25,5,0,47,4,0,1,0.0,65,219
93,242K39IL,0,0,1,1,1,1,25,5,1,54,1,0,1,0.0,48,76
95,063O78AS,1,1,0,0,0,1,50,7,0,58,2,1,1,0.0,57,100
97,799V80WI,1,0,0,0,1,1,15,11,1,85,1,0,1,0.0,56,40
98,568R23JP,1,0,0,1,1,0,15,8,1,48,5,1,1,0.0,69,86
99,554X80FK,1,1,1,1,0,1,50,8,0,72,3,0,1,0.0,68,99
100,441C60AK,1,0,0,1,0,0,15,3,0,23,4,0,1,0.0,20,110
102,267H12XL,1,0,0,1,0,0,25,3,0,44,3,0,1,0.0,60,84
105,530R67JM,0,0,1,0,0,1,25,3,0,55,4,0,1,0.0,62,233
112,274P06PB,1,0,1,0,0,0,15,2,0,70,5,1,1,0.0,69,585
