,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
5281,708O76TE,1,1,1,0,1,1,15,6,1,63.0,2.0,1.0,1.0,0.0,61,127
5282,381J43IP,1,0,1,1,1,0,15,8,1,63.0,4.0,0.0,1.0,0.0,66,77
5283,423D45KT,1,0,1,1,0,0,15,2,0,78.0,0.0,0.0,1.0,0.0,50,52
5284,636B17TF,0,0,0,1,0,1,15,3,1,35.0,6.0,0.0,1.0,0.0,82,159
5286,471V99TB,1,0,0,1,0,0,15,3,0,83.0,1.0,0.0,1.0,0.0,43,107
5287,940A06SN,0,0,0,1,1,1,15,4,1,31.0,2.0,0.0,1.0,0.0,36,37
5288,822Y38FT,0,0,1,1,0,0,25,5,0,87.0,3.0,1.0,1.0,0.0,66,99
5291,431D55AE,0,0,1,0,0,1,25,5,0,75.0,6.0,1.0,1.0,0.0,73,107
5292,423V96VS,0,0,0,1,0,0,15,3,1,33.0,4.0,0.0,1.0,0.0,56,63
5293,245T88XB,0,0,1,0,0,1,25,10,1,60.0,6.0,0.0,1.0,0.0,71,93
5294,261X27KH,1,0,0,1,0,0,15,3,0,33.0,3.0,0.0,1.0,0.0,57,113
5295,768S17AJ,0,0,0,1,0,1,15,10,1,63.0,0.0,0.0,1.0,0.0,67,44
5296,521V12JS,1,0,0,1,0,0,15,3,0,65.0,5.0,0.0,1.0,0.0,64,316
5297,289Q54RZ,0,1,0,1,1,0,25,9,1,60.0,3.0,0.0,1.0,0.0,57,47
5298,588N21PZ,0,1,1,0,0,0,25,4,0,63.0,4.0,0.0,1.0,0.0,74,87
5299,892X63RE,0,1,0,1,1,1,15,9,1,62.0,3.0,1.0,1.0,0.0,64,33
5300,369I35RB,0,1,0,0,0,1,50,3,0,41.0,1.0,0.0,1.0,0.0,53,187
5301,244Z48FI,1,0,0,1,0,0,15,3,1,63.0,2.0,1.0,1.0,0.0,65,49
5302,346N19GH,0,1,1,0,0,0,25,4,0,50.0,4.0,0.0,1.0,0.0,73,98
5303,098V26EQ,0,1,1,1,0,0,25,9,0,81.0,5.0,1.0,1.0,0.0,52,402
5304,115Y76HP,1,0,0,1,0,0,15,7,1,63.0,4.0,1.0,1.0,0.0,63,127
5305,606S64RC,0,0,0,0,0,1,15,3,0,75.0,2.0,1.0,1.0,0.0,50,158
5306,402N64NX,0,0,0,1,0,1,25,5,0,34.0,2.0,0.0,1.0,0.0,65,270
5307,111L57LB,1,0,1,0,0,0,15,3,0,43.0,4.0,1.0,1.0,0.0,63,56
