yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
2005,COL,5,740,862,162,67,1477,509,64,5542,34,150,280,34,47839000,0.266510285,0.333387543,0.410501624
2006,MIN,1,801,683,162,96,1608,490,50,5602,55,143,275,34,63396006,0.287040343,0.346619332,0.424848268
2006,DET,2,822,675,162,95,1548,430,45,5642,36,203,294,40,82612866,0.274370791,0.328782708,0.448599787
2006,CHA,3,868,794,162,90,1586,502,58,5657,57,236,291,20,102750667,0.280360615,0.342046541,0.464026869
2006,CLE,4,870,782,162,78,1576,556,54,5619,43,196,351,27,56031500,0.280476953,0.348533163,0.45719879
2006,KCA,5,757,971,162,62,1515,474,64,5589,48,124,335,37,47294000,0.27106817,0.332469636,0.410806942
2006,NYA,1,930,767,162,97,1608,649,72,5651,49,210,327,21,194663079,0.284551407,0.362716088,0.461334277
2006,TOR,2,809,754,162,87,1591,514,63,5596,52,199,348,27,71365000,0.284310222,0.348273092,0.462830593
2006,BOS,3,820,825,162,86,1510,672,66,5619,56,192,327,16,120099824,0.268731091,0.35053797,0.435130806
2006,BAL,4,768,899,162,70,1556,474,73,5610,41,164,288,20,72585582,0.277361854,0.339303001,0.423529412
2006,TBA,5,689,856,162,61,1395,441,47,5474,43,190,267,33,34917967,0.254841067,0.313572023,0.419802704
2006,OAK,1,771,727,162,93,1429,650,50,5500,56,175,266,22,62243079,0.259818182,0.340313299,0.411636364
2006,LAA,2,766,732,162,89,1539,486,42,5609,53,159,309,29,103472000,0.27438046,0.333925687,0.424852915
2006,TEX,3,835,784,162,80,1571,505,40,5659,50,183,357,23,68228662,0.277610885,0.33834346,0.445838487
2006,SEA,4,756,792,162,78,1540,404,63,5670,38,172,266,42,87959833,0.271604938,0.325020243,0.424338624
2006,SLN,1,781,762,161,83,1484,531,61,5522,40,184,292,27,88891371,0.268743209,0.337341566,0.431365447
2006,HOU,2,735,719,162,82,1407,585,73,5521,46,174,275,27,88694435,0.254845137,0.331726908,0.40898388
2006,CIN,3,749,801,162,80,1419,614,59,5515,38,217,291,12,60909519,0.257298277,0.336010279,0.432456936
2006,MIL,4,730,833,162,75,1400,502,82,5433,53,180,301,20,57568333,0.257684521,0.326853377,0.419841708
2006,PIT,5,691,797,162,67,1462,459,89,5558,49,141,286,17,46717750,0.263044261,0.326563769,0.396725441
2006,CHN,6,716,834,162,66,1496,395,43,5587,37,166,271,46,94424499,0.267764453,0.319036622,0.421872203
2006,NYN,1,834,731,162,97,1469,547,62,5558,47,200,323,41,101084963,0.264303706,0.33440618,0.445124145
2006,PHI,2,865,812,162,85,1518,626,95,5687,44,216,294,41,88273333,0.266924565,0.347024179,0.44698435
2006,ATL,3,849,805,162,79,1510,526,52,5583,44,222,312,26,90156876,0.270463908,0.33650282,0.454952534
2006,FLO,4,758,772,162,78,1454,497,74,5502,42,182,309,42,14671500,0.264267539,0.331152903,0.434932752
2006,WAS,5,746,872,162,71,1437,594,69,5495,49,164,322,22,63143000,0.261510464,0.338327695,0.417652411
2006,SDN,1,731,679,162,88,1465,564,40,5576,47,161,298,38,69896141,0.262733142,0.332262727,0.416427547
2006,LAN,2,820,751,162,88,1552,601,51,5628,48,153,307,58,98447187,0.275764037,0.3482933,0.432480455
2006,SFN,3,746,790,161,76,1418,494,53,5472,37,163,297,52,90056419,0.259137427,0.324471598,0.421783626
2006,ARI,4,773,788,162,76,1506,504,67,5645,53,160,331,38,59684226,0.266784765,0.331312809,0.423914969
2006,COL,4,813,812,162,76,1504,561,60,5562,45,157,325,54,41233000,0.270406329,0.341201028,0.432937792
2007,CLE,1,811,704,162,96,1504,590,80,5604,59,178,305,27,61673267,0.268379729,0.343281225,0.427730193
2007,DET,2,887,797,162,88,1652,474,56,5757,45,177,352,50,94800369,0.286955011,0.344598863,0.457703665
2007,MIN,3,718,725,162,79,1460,512,48,5522,45,118,273,36,71439500,0.264396958,0.329688265,0.390981528
2007,CHA,4,693,839,162,72,1341,532,52,5441,35,190,249,20,108671833,0.246462047,0.317656766,0.404337438
2007,KCA,5,706,778,162,69,1447,428,89,5534,47,102,300,46,67116500,0.261474521,0.322072811,0.387603903
2007,BOS,1,867,657,162,96,1561,689,64,5589,54,166,352,35,143026214,0.279298622,0.361788618,0.443907676
2007,NYA,2,968,777,162,94,1656,637,78,5717,54,201,326,32,189259045,0.28966241,0.365556583,0.463354906
2007,TOR,3,753,699,162,83,1434,533,47,5536,48,165,344,24,81942800,0.259031792,0.326735886,0.41925578
2007,BAL,4,756,868,162,69,1529,500,47,5631,47,142,306,30,93174808,0.271532587,0.333493976,0.412182561
2007,TBA,5,782,944,162,66,1500,545,53,5593,52,187,291,36,24123500,0.268192383,0.336056383,0.433398891
2007,LAA,1,822,731,162,94,1578,507,40,5554,65,123,324,23,109251333,0.284119553,0.344631852,0.41717681
2007,SEA,2,794,813,162,88,1629,389,62,5684,40,153,284,22,106460833,0.286593948,0.336842105,0.42505278
2007,OAK,3,741,758,162,76,1430,664,49,5577,56,171,295,16,79366940,0.256410256,0.337693035,0.407028869
2007,TEX,4,816,844,162,75,1460,503,56,5555,42,179,298,36,68318675,0.262826283,0.32797271,0.42610261
2007,CHN,1,752,690,162,85,1530,500,40,5643,37,151,340,28,99670332,0.271132376,0.332797428,0.421584264
2007,MIL,2,801,776,162,83,1455,501,76,5554,47,231,310,37,70986500,0.261973353,0.328909032,0.455887649
