FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,PCTMARR,HOMEVAL
017I48YE,0,0,0,1,0,0,15,10,1,55,2,0,1,64,56
401K17WD,0,0,1,1,0,0,25,6,1,47,6,1,1,60,96
226G19ZD,1,0,0,0,0,1,25,7,0,87,4,1,1,62,221
103I71KP,0,0,1,0,1,1,25,7,1,48,5,1,1,66,83
381E98NO,1,0,1,1,0,1,25,10,1,66,5,0,1,68,191
657A80GW,0,0,1,0,0,1,15,3,0,55,4,0,1,67,85
053G79UA,0,0,0,1,0,1,15,11,1,85,1,1,1,49,43
805I07FH,0,1,1,1,0,1,15,4,0,66,5,0,1,51,68
861Q59HY,0,1,0,1,1,1,15,4,1,48,6,0,1,69,123
583F13BE,1,1,1,1,1,1,25,10,1,66,3,0,1,62,83
738S50AE,1,0,1,1,0,0,25,4,0,51,4,0,1,27,54
702G01UE,1,1,0,1,1,0,15,10,1,90,1,0,1,63,124
974M34YD,1,1,1,1,1,0,25,9,1,75,1,1,1,65,142
148F58PR,1,0,1,1,0,0,15,5,0,73,1,1,1,45,39
160B05JD,0,1,1,1,1,1,25,6,1,78,1,1,1,63,58
244N63HW,0,0,1,1,0,1,15,3,0,38,1,1,1,28,35
773E05DQ,1,1,0,1,0,0,15,3,0,63,2,0,1,54,302
464L39IU,1,0,1,1,0,0,15,4,0,65,6,0,1,66,204
309A78BR,0,0,1,1,1,0,15,4,1,67,0,0,1,30,31
849N96WF,0,1,1,0,0,1,25,5,0,72,4,1,1,65,121
333I91VD,0,0,0,1,0,1,15,3,1,73,2,1,1,83,74
670X13NC,0,0,1,0,1,0,25,4,0,79,1,0,1,30,64
384D86MY,1,0,1,1,0,1,15,9,1,63,3,0,1,51,120
747F18RP,0,0,1,1,0,1,15,8,1,49,6,0,1,64,190
146G57EO,0,0,1,1,0,1,25,8,0,63,2,0,1,63,26
719P40OU,1,0,1,0,0,0,15,3,0,80,0,1,1,48,47
