Source,Target,Type,id,label,timeset,weight
motioncitycutie,RokuPlayer,Directed,489,,,1.0
Wavingthrough_W,Variety,Directed,490,,,1.0
Wavingthrough_W,LifetimeTV,Directed,491,,,1.0
necnectutu_h,Variety,Directed,492,,,1.0
necnectutu_h,LifetimeTV,Directed,493,,,1.0
g_kohls,eatplayrock,Directed,494,,,1.0
opa7_kb,DaveOFlanagan,Directed,495,,,1.0
tomorrowato,Variety,Directed,496,,,2.0
tomorrowato,GalGadot,Directed,497,,,1.0
tomorrowato,PattyJenks,Directed,498,,,1.0
tomorrowato,lifetimetv,Directed,499,,,1.0
michsineath,Variety,Directed,500,,,1.0
michsineath,KellyClarkson,Directed,501,,,1.0
DaniOTHfan,Variety,Directed,502,,,1.0
DaniOTHfan,KellyClarkson,Directed,503,,,1.0
berrard_mahaut,20thCFox_FR,Directed,504,,,1.0
BillleJoGrams,Variety,Directed,505,,,1.0
BillleJoGrams,KellyClarkson,Directed,506,,,1.0
Nonsenseman,LifetimeTV,Directed,508,,,1.0
ChristinaCoomb6,LovingVincent,Directed,509,,,1.0
PeterShinkoda,Variety,Directed,510,,,1.0
PeterShinkoda,GalGadot,Directed,511,,,1.0
PeterShinkoda,PattyJenks,Directed,512,,,1.0
PeterShinkoda,lifetimetv,Directed,513,,,1.0
vs4as,Variety,Directed,514,,,1.0
vs4as,GalGadot,Directed,515,,,1.0
vs4as,PattyJenks,Directed,516,,,1.0
vs4as,lifetimetv,Directed,517,,,1.0
sarafrass31,IGN,Directed,518,,,1.0
sarafrass31,pkavfc,Directed,519,,,1.0
mariaferlitaa,SpiderManMovie,Directed,520,,,1.0
blueshore1212,n0namae,Directed,521,,,1.0
MrandMrs_Clark,Lepub,Directed,522,,,1.0
Herveline88,loalaff,Directed,523,,,1.0
Herveline88,20thCFox_FR,Directed,524,,,1.0
MasterMastermnd,Darren_Mooney,Directed,525,,,1.0
sarafrass31,ArtofVFX,Directed,526,,,1.0
sarafrass31,imageworksvfx,Directed,527,,,1.0
Cloe__SanAntoni,AlexxGenesis,Directed,528,,,1.0
digitalhomeboy,lifetimetv,Directed,530,,,2.0
digitalhomeboy,PattyJenks,Directed,531,,,2.0
sarafrass31,stevenrogersbot,Directed,532,,,1.0
Xarzvi,jzamorabonilla,Directed,533,,,1.0
Larryreveza1,WarnerBrosUK,Directed,534,,,1.0
rae_noelle,Darren_Mooney,Directed,535,,,2.0
GeekPride5,Variety,Directed,536,,,1.0
GeekPride5,GalGadot,Directed,537,,,1.0
GeekPride5,PattyJenks,Directed,538,,,1.0
GeekPride5,lifetimetv,Directed,539,,,1.0
ryan_poker_,23andMe,Directed,540,,,1.0
RhitikRaja,KingsmanMovie,Directed,541,,,1.0
RhitikRaja,_juliannemoore,Directed,542,,,1.0
RhitikRaja,cineworld,Directed,543,,,1.0
JimFrench2,archiebunkerUK,Directed,544,,,1.0
digitalhomeboy,GalGadot,Directed,546,,,1.0
brionlogan,nathanmhurst,Directed,549,,,1.0
MaxFunHQ,whoshotyapod,Directed,550,,,1.0
MaxFunHQ,RickyCarmona,Directed,551,,,1.0
MaxFunHQ,AWolfeful,Directed,552,,,1.0
MaxFunHQ,TheDreaClark,Directed,553,,,1.0
msfhw,thisisbenoliver,Directed,554,,,1.0
