player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Stanley Johnson,SF,20,DET,77,1,17.8,1.7,4.7,0.353,0.6,2,0.292,1.1,2.7,0.398,0.415,0.5,0.5,0.679,0.5,2,2.5,1.4,0.7,0.3,0.9,1.6,4.4,2969880
Tyler Johnson,PG,24,MIA,73,0,29.8,4.9,11.3,0.433,1.3,3.4,0.372,3.6,7.9,0.46,0.49,2.7,2.7,0.768,0.7,3.3,4,3.2,1.2,0.6,1.2,2.4,13.7,5628000
Wesley Johnson,SF,29,LAC,68,3,11.9,1.1,2.9,0.365,0.4,1.7,0.246,0.6,1.2,0.537,0.438,0.2,0.2,0.647,0.4,2.3,2.7,0.3,0.4,0.4,0.3,1.2,2.7,5628000
Nikola Jokic,C,21,DEN,73,59,27.9,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,2.6,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,1358500
Dahntay Jones,SF,36,CLE,1,0,12,3,8,0.375,0,2,0,3,6,0.5,0.375,3,3,0.75,1,1,2,1,0,0,1,1,9,5767
Damian Jones,C,21,GSW,10,0,8.5,0.8,1.6,0.5,0,0,0,0.8,1.6,0.5,0.5,0.3,0.3,0.3,0.9,1.4,2.3,0,0.1,0.4,0.6,1.5,1.9,1171560
Tyus Jones,PG,20,MIN,60,0,12.9,1.3,3,0.414,0.4,1.2,0.356,0.8,1.8,0.454,0.486,0.6,0.6,0.767,0.2,1,1.1,2.6,0.8,0.1,0.6,0.8,3.5,1339680
Cory Joseph,PG,25,TOR,80,22,25,3.7,8.3,0.452,0.6,1.7,0.356,3.1,6.6,0.477,0.489,1.2,1.2,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,7315000
Frank Kaminsky,C,23,CHO,75,16,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6,0.455,0.471,1.6,1.6,0.756,0.8,3.7,4.5,2.2,0.6,0.5,1,1.9,11.7,2730000
Ryan Kelly,PF,25,ATL,16,0,6.9,0.5,1.8,0.286,0.3,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.3,0.833,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,286785
